schoolid,schoolname,calendaryear,sprfactotal,sprftfactotal,sprftfacother,spradminfactotal,sprptfactotal,fallfactotal,fallftfactotal,fallftfacother,falladminfactotal,fallptfactotal,sprfacmen,sprftfacmen,sprotherftfacmen,spradminfacmen,sprptfacmen,fallfacmen,fallftfacmen,fallotherftfacmen,falladminfacmen,fallptfacmen,sprfacwomen,sprftfacwomen,sprotherftfacwomen,spradminfacwomen,sprptfacwomen,fallfacwomen,fallftfacwomen,fallotherftfacwomen,falladminfacwomen,fallptfacwomen,fallfacother,sprfacother,fallfacminority,sprfacminority,fallftfacminority,sprftfacminority,fallotherftfacminority,sprotherftfacminority,falladminfacother,spradminfacother,falladminfacminority,spradminfacminority,fallptfacminority,sprptfacminority,fallptfacother,sprptfacother
00131373,University of California-Davis,2013,81,42,2,9,28,73,46,2,9,16,48,22,2,3,21,40,24,2,3,11,33,20,0,6,7,33,22,0,6,5,,,29,29,19,17,1,1,,,5,5,4,6,,
00131373,University of California-Davis,2014,82,41,,9,32,69,46,,9,14,45,24,,3,18,37,25,,3,9,37,17,,6,14,32,21,,6,5,0,0,29,30,18,16,,,0,0,5,5,6,9,0,0
00131373,University of California-Davis,2015,82,42,0,9,31,73,43,0,9,21,46,25,,3,18,41,25,,2,14,36,17,,6,13,32,18,,7,7,0,0,28,27,16,15,,,0,0,5,5,7,7,0,0
00131373,University of California-Davis,2016,82,43,0,10,29,81,44,0,10,27,50,25,,2,23,46,24,,2,20,32,18,,8,6,35,20,,8,7,0,0,32,30,20,16,,,0,0,5,5,7,9,0,0
00131400,University of California-Irvine,2011,31,21,2,0,8,43,28,0,2,13,20,12,2,0,6,26,16,0,0,10,11,9,0,0,2,17,12,0,2,3,,,8,8,7,5,0,1,,,0,0,1,2,,
00131400,University of California-Irvine,2012,51,24,0,7,20,50,27,1,7,15,32,15,0,3,14,33,18,1,3,11,19,9,0,4,6,17,9,0,4,4,,,10,10,7,6,0,0,,,1,1,2,3,,
00131400,University of California-Irvine,2013,54,25,1,5,23,57,26,1,6,24,31,14,1,2,14,34,16,0,2,16,23,11,0,3,9,23,10,1,4,8,,,14,10,6,6,1,0,,,1,1,6,3,,
00131400,University of California-Irvine,2014,69,30,,10,29,67,32,,11,24,41,18,,2,21,36,20,,2,14,28,12,,8,8,31,12,,9,10,0,0,18,17,9,6,,,0,0,2,2,7,9,0,0
00131400,University of California-Irvine,2015,85,37,0,10,38,81,35,0,11,35,50,23,,1,26,42,22,,3,17,35,14,,9,12,39,13,,8,18,0,0,20,23,9,10,,,0,0,3,2,8,11,0,0
00131400,University of California-Irvine,2016,79,32,0,12,35,84,38,0,14,32,42,21,,3,18,44,22,,3,19,37,11,,9,17,40,16,,11,13,0,0,20,19,10,7,,,0,0,4,3,6,9,0,0
00131500,University of California-Los Angeles,2011,132,78,11,10,33,121,72,15,10,24,85,51,7,7,20,78,45,9,6,18,47,27,4,3,13,43,27,6,4,6,,,18,20,11,12,4,1,,,2,2,1,5,,
00131500,University of California-Los Angeles,2012,133,75,15,8,35,127,76,15,9,27,87,50,9,5,23,85,55,8,4,18,46,25,6,3,12,42,21,7,5,9,,,19,21,13,13,2,4,,,1,2,3,2,,
00131500,University of California-Los Angeles,2013,138,79,15,8,36,145,79,20,10,36,95,57,8,5,25,91,55,9,2,25,43,22,7,3,11,54,24,11,8,11,,,24,20,13,13,4,2,,,2,2,5,3,,
00131500,University of California-Los Angeles,2014,155,99,,9,47,148,98,,14,36,101,65,,3,33,90,62,,3,25,54,34,,6,14,58,36,,11,11,0,0,26,27,17,18,,,0,0,3,3,6,6,0,0
00131500,University of California-Los Angeles,2015,155,98,0,17,40,142,86,0,16,40,99,62,,7,30,86,50,,8,28,56,36,,10,10,56,36,,8,12,0,0,23,26,15,19,,,0,0,2,4,6,3,0,0
00131500,University of California-Los Angeles,2016,159,88,0,19,52,150,85,0,16,49,90,51,,6,33,86,50,,5,31,69,37,,13,19,64,35,,11,18,0,0,29,27,17,18,,,0,0,1,3,11,6,0,0
00132500,University of San Francisco,2011,85,38,0,8,39,85,38,0,7,40,54,20,0,4,30,54,19,0,4,31,31,18,0,4,9,31,19,0,3,9,,,18,20,13,13,0,0,,,1,2,4,5,,
