schoolid,schoolname,calendaryear,ftrestuition,ptrestuition,ftnonrestuition,ptnonrestuition,tuitionguarind,oncampuscosts,offcampuscosts,athomecosts,schooltype
00132901,McGeorge School of Law,2012,43045,28631,43045,28631,N,22030,22030,22030,PRI
00132901,McGeorge School of Law,2013,44690,29700,44690,29700,N,22433,22433,22433,PRI
00132901,McGeorge School of Law,2014,46462,30858,46462,30858,N,22703,22703,22703,PRI
00132901,McGeorge School of Law,2015,48274,32060,48274,32060,N,22578,22578,22578,PRI
00132901,McGeorge School of Law,2016,49720,33020,49720,33020,N,25503,25503,25503,PRI
00132901,McGeorge School of Law,2017,49720,33020,49720,33020,N,25350,25350,25350,PRI
00134201,Whittier Law School,2011,39140,26110,39140,26110,N,,25412,25412,PRI
00134201,Whittier Law School,2012,40260,26840,40260,26840,N,,26924,26924,PRI
00134201,Whittier Law School,2013,41460,27640,41460,27640,N,,27796,27796,PRI
00134201,Whittier Law School,2014,42400,28300,42400,28300,N,,27796,27796,PRI
00134201,Whittier Law School,2015,44370,29714,44370,29714,N,,29680,29680,PRI
00134201,Whittier Law School,2016,45350,30400,45350,30400,N,,32136,32136,PRI
00134201,Whittier Law School,2017,44370,29580,44370,29580,N,37527,37527,37527,PRI
00137000,University of Colorado,2011,31044,,37452,,N,18092,18386,10996,PUB
00137000,University of Colorado,2012,31495,,38281,,N,18372,18692,10960,PUB
00137000,University of Colorado,2013,31738,,38524,,N,18540,19052,10600,PUB
00137000,University of Colorado,2014,31886,,38672,,N,19236,19286,10600,PUB
00137000,University of Colorado,2015,31864,,38650,,N,20302,19024,11346,PUB
00137000,University of Colorado,2016,31831,,38623,,N,20114,19430,10772,PUB
00137000,University of Colorado,2017,31989,,38775,,,20523,19826,10800,PUB
00137100,University of Denver,2011,38502,28382,38502,28382,N,16707,16707,16707,PRI
00137100,University of Denver,2012,39840,29363,39480,29363,N,17155,17155,17155,PRI
00137100,University of Denver,2013,40950,30062,40950,30062,N,15230,15230,15230,PRI
