schoolid,schoolname,calendaryear,academicyear,condscholind,numenteringcondschol,numeliminatedcondschol,numstudents,ftnumstudents,ptnumstudents,totalrecvgrant,totalrecvgrantp,ftrecvgrant,ptrecvgrant,totalgrantlthalf,totalgrantlthalfp,ftgrantlthalf,ptgrantlthalf,totalgrantalhalf,totalgrantalhalfp,ftgrantalhalf,ptgrantalhalf,totalgrantfull,totalgrantfullp,ftgrantfull,ptgrantfull,totalgrantgtfull,totalgrantgtfullp,ftgrantgtfull,ptgrantgtfull,ftgrantamt75,ptgrantamt75,ftgrantamtmedian,ptgrantamtmedian,ftgrantamt25,ptgrantamt25
00129500,Southwestern Law School,2013,2012,Y,51,6,1086,691,395,378,34.8,257,121,204,18.8,119,85,109,10,91,18,56,5.2,39,17,9,0.8,8,1,30000,14700,20000,7400,8500,2700
00129500,Southwestern Law School,2014,2013,Y,120,19,1083,686,397,424,39.2,274,150,291,26.9,179,112,82,7.6,59,23,25,2.3,19,6,26,2.4,17,9,28200,14978,20000,7490,10000,3639
00129500,Southwestern Law School,2015,2014,Y,86,13,1048,687,361,437,41.7,291,146,281,26.8,181,100,104,9.9,72,32,21,2,17,4,31,3,21,10,33333,18638,16882,9500,9819,4000
00129500,Southwestern Law School,2016,2015,Y,87,36,977,659,318,485,49.6,339,146,321,32.9,214,107,126,12.9,96,30,17,1.7,13,4,21,2.1,16,5,30000,16300,19700,7679,7500,3500
00129500,Southwestern Law School,2017,2016,Y,107,48,865,607,258,430,49.7,316,114,264,30.5,186,78,149,17.2,117,32,13,1.5,9,4,4,0.5,4,0,32685,19990,19975,12764,9951,5381
00130503,Stanford University,2011,2010,,,,571,571,0,352,61.6,352,,152,26.6,152,,189,33.1,189,,6,1.1,6,,5,0.9,5,,,,26027,,,
00130503,Stanford University,2012,2011,N,,,571,571,0,348,60.9,348,,177,31,177,,157,27.5,157,,6,1.1,6,,8,1.4,8,,35396,,23369,,14121,
00130503,Stanford University,2013,2012,N,,,575,575,0,308,53.6,308,,168,29.2,168,,128,22.3,128,,8,1.4,8,,4,0.7,4,,33105,,21938,,13707,
00130503,Stanford University,2014,2013,N,,,574,574,0,301,52.4,301,,163,28.4,163,,124,21.6,124,,5,0.9,5,,9,1.6,9,,32730,,23060,,15000,
00130503,Stanford University,2015,2014,N,,,577,577,0,278,48.2,278,,155,26.9,155,,119,20.6,119,,1,0.2,1,,3,0.5,3,,34443,,22399,,15226,
00130503,Stanford University,2016,2015,N,,,572,572,0,259,45.3,259,,155,27.1,155,,102,17.8,102,,2,0.3,2,,0,0,0,,33734,,24163,,16583,
00130503,Stanford University,2017,2016,N,,,579,579,0,262,45.3,262,,148,25.6,148,0,103,17.8,103,,2,0.3,2,,9,1.6,9,,37913,,25405,,17235,
00131273,University of California-Berkeley,2011,2010,,,,916,916,0,595,65,595,,476,52,476,,92,10,92,,6,0.7,6,,21,2.3,21,,,,14259,,,
00131273,University of California-Berkeley,2012,2011,N,,,869,869,0,512,58.9,512,,407,46.8,407,,93,10.7,93,,2,0.2,2,,10,1.2,10,,24145,,18118,,6000,
00131273,University of California-Berkeley,2013,2012,N,,,857,856,1,494,57.6,494,0,391,45.6,391,0,92,10.7,92,0,3,0.4,3,0,8,0.9,8,0,23958,0,16358,0,6000,0
00131273,University of California-Berkeley,2014,2013,N,,,858,854,4,532,62,532,0,346,40.3,346,0,164,19.1,164,0,0,0,0,0,22,2.6,22,0,26015,0,19906,0,6219,0
00131273,University of California-Berkeley,2015,2014,N,,,894,890,4,539,60.3,539,0,360,40.3,360,0,154,17.2,154,0,0,0,0,0,25,2.8,25,0,25030,0,18887,0,6256,0
00131273,University of California-Berkeley,2016,2015,N,,,939,935,4,577,61.4,577,0,354,37.7,354,0,171,18.2,171,0,0,0,0,0,52,5.5,52,0,29000,0,20000,0,7969,0
00131273,University of California-Berkeley,2017,2016,N,,,926,925,1,595,64.3,595,0,386,41.7,386,0,173,18.7,173,0,0,0,0,0,36,3.9,36,0,27500,0,20000,0,5000,0
00131373,University of California-Davis,2011,2010,,,,589,589,0,432,73.3,432,,238,40.4,238,,188,31.9,188,,0,0,0,,6,1,6,,,,22000,,,
00131373,University of California-Davis,2012,2011,N,,,601,601,0,584,97.2,584,,403,67.1,403,,179,29.8,179,,0,0,0,,2,0.3,2,,27000,,23000,,13000,
00131373,University of California-Davis,2013,2012,N,,,569,569,0,399,70.1,399,,192,33.7,192,,202,35.5,202,,0,0,0,,5,0.9,5,,30200,,25200,,14200,
00131373,University of California-Davis,2014,2013,N,,,499,499,0,359,71.9,359,,169,33.9,169,,184,36.9,184,,0,0,0,,6,1.2,6,,30000,,25000,,14000,
00131373,University of California-Davis,2015,2014,N,,,513,513,0,391,76.2,391,,173,33.7,173,,214,41.7,214,,0,0,0,,4,0.8,4,,30000,,25000,,15000,
00131373,University of California-Davis,2016,2015,N,,,494,494,0,431,87.2,431,,99,20,99,,287,58.1,287,,0,0,0,,45,9.1,45,,41000,,32500,,25000,
00131373,University of California-Davis,2017,2016,N,,,505,505,0,445,88.1,445,,117,23.2,117,0,277,54.9,277,,0,0,0,,51,10.1,51,,40000,,30600,,23000,
00131400,University of California-Irvine,2011,2010,,,,142,142,0,143,100.7,143,,0,0,0,,75,52.8,75,,67,47.2,67,,1,0.7,1,,,,0,,,
00131400,University of California-Irvine,2012,2011,N,,,235,235,0,225,95.7,225,,64,27.2,64,,91,38.7,91,,70,29.8,70,,0,0,0,,33261,,22173,,11086,
00131400,University of California-Irvine,2013,2012,N,,,297,297,0,266,89.6,266,,131,44.1,131,,114,38.4,114,,21,7.1,21,,0,0,0,,35103,,23402,,11701,
00131400,University of California-Irvine,2014,2013,N,,,339,339,0,303,89.4,303,,164,48.4,164,,123,36.3,123,,16,4.7,16,,0,0,0,,35481,,23654,,11824,
00131400,University of California-Irvine,2015,2014,N,,,326,326,0,296,90.8,296,,150,46,150,,133,40.8,133,,13,4,13,,0,0,0,,35000,,20000,,10000,
00131400,University of California-Irvine,2016,2015,N,,,334,334,0,310,92.8,310,,124,37.1,124,,170,50.9,170,,16,4.8,16,,0,0,0,,35000,,25000,,15750,
00131400,University of California-Irvine,2017,2016,N,,,356,356,0,341,95.8,341,,206,57.9,206,0,120,33.7,120,,15,4.2,15,,0,0,0,,32000,,25000,,18000,
00131500,University of California-Los Angeles,2011,2010,,,,999,999,0,739,74,739,,567,56.8,567,,144,14.4,144,,3,0.3,3,,25,2.5,25,,,,13450,,,
00131500,University of California-Los Angeles,2012,2011,Y,84,0,987,987,0,768,77.8,768,,556,56.3,556,,182,18.4,182,,0,0,0,,30,3,30,,24000,,15439,,6000,
00131500,University of California-Los Angeles,2013,2012,Y,124,0,994,994,0,777,78.2,777,,564,56.7,564,,173,17.4,173,,2,0.2,2,,38,3.8,38,,24500,,15240,,7180,
00131500,University of California-Los Angeles,2014,2013,Y,0,0,975,975,0,779,79.9,779,,503,51.6,503,,236,24.2,236,,7,0.7,7,,33,3.4,33,,27575,,20000,,10000,
00131500,University of California-Los Angeles,2015,2014,Y,145,0,992,992,0,789,79.5,789,,450,45.4,450,,282,28.4,282,,8,0.8,8,,49,4.9,49,,31808,,21000,,11125,
00131500,University of California-Los Angeles,2016,2015,N,,,974,974,0,778,79.9,778,,447,45.9,447,,284,29.2,284,,7,0.7,7,,40,4.1,40,,31075,,21000,,11528,
