schoolid,schoolname,calendaryear,transin,transout,transout1l,transjd1gpa75,transjd1gpa50,transjd1gpa25
00153601,University of Miami,2011,9,33,,,,
00153601,University of Miami,2012,21,17,,,,
00153601,University of Miami,2013,24,24,,,,
00153601,University of Miami,2014,29,17,,3.3,3.07,2.87
00153601,University of Miami,2015,44,10,,3.26,3.05,2.9
00153601,University of Miami,2016,31,12,,3.16,3.01,2.88
00153601,University of Miami,2017,33,,11,3.2,3.08,3.02
00156400,Emory University,2011,19,11,,,,
00156400,Emory University,2012,41,9,,,,
00156400,Emory University,2013,75,6,,,,
00156400,Emory University,2014,53,6,,3.42,3.27,2.93
00156400,Emory University,2015,51,14,,3.45,3.3,3.06
00156400,Emory University,2016,51,7,,3.41,3.16,3.02
00156400,Emory University,2017,41,,11,3.35,3.2,2.96
00157400,Georgia State University,2011,4,4,,,,
00157400,Georgia State University,2012,10,2,,,,
00157400,Georgia State University,2013,12,2,,,,
00157400,Georgia State University,2014,21,2,,153,151,149
00157400,Georgia State University,2015,0,1,,,,
00157400,Georgia State University,2016,13,2,,3.5,3.2,2.89
00157400,Georgia State University,2017,3,,0,0,0,0
00158015,Mercer University,2011,8,10,,,,
00158015,Mercer University,2012,7,9,,,,
00158015,Mercer University,2013,7,14,,,,
00158015,Mercer University,2014,9,25,,,2.8,
00158015,Mercer University,2015,0,18,,,,
00158015,Mercer University,2016,2,5,,,,
00158015,Mercer University,2017,1,,7,0,0,0
00159800,University of Georgia,2011,6,4,,,,
00159800,University of Georgia,2012,13,2,,,,
00159800,University of Georgia,2013,11,4,,,,
00159800,University of Georgia,2014,9,2,,,3.26,
00159800,University of Georgia,2015,11,1,,,3.24,
00159800,University of Georgia,2016,10,3,,,3.37,
00159800,University of Georgia,2017,10,,0,0,0,0
00161000,University of Hawaii,2011,1,7,,,,
00161000,University of Hawaii,2012,4,2,,,,
00161000,University of Hawaii,2013,3,1,,,,
00161000,University of Hawaii,2014,3,2,,,,
00161000,University of Hawaii,2015,1,3,,,,
00161000,University of Hawaii,2016,4,1,,,,
00161000,University of Hawaii,2017,2,,1,0,0,0
00162600,University of Idaho,2011,4,5,,,,
00162600,University of Idaho,2012,1,0,,,,
00162600,University of Idaho,2013,3,9,,,,
00162600,University of Idaho,2014,57,9,,3.25,2.87,2.63
00162600,University of Idaho,2015,5,4,,,,
00162600,University of Idaho,2016,5,3,,,,
00162600,University of Idaho,2017,6,,1,0,0,0
00167100,Depaul University,2011,18,17,,,,
00167100,Depaul University,2012,16,19,,,,
00167100,Depaul University,2013,18,21,,,,
00167100,Depaul University,2014,8,24,,,2.79,
00167100,Depaul University,2015,4,18,,,,
00167100,Depaul University,2016,7,7,,,2.94,
00167100,Depaul University,2017,1,,0,0,0,0
00169101,Chicago-Kent College of Law-IIT,2011,24,7,,,,
00169101,Chicago-Kent College of Law-IIT,2012,19,17,,,,
00169101,Chicago-Kent College of Law-IIT,2013,16,13,,,,
00169101,Chicago-Kent College of Law-IIT,2014,10,20,,,3.13,
00169101,Chicago-Kent College of Law-IIT,2015,5,17,,,,
00169101,Chicago-Kent College of Law-IIT,2016,9,7,,,3.21,
00169101,Chicago-Kent College of Law-IIT,2017,9,,16,0,0,0
00169800,John Marshall Law School,2011,12,40,,,,
00169800,John Marshall Law School,2012,13,28,,,,
00169800,John Marshall Law School,2013,9,47,,,,
00169800,John Marshall Law School,2014,8,50,,,2.5,
00169800,John Marshall Law School,2015,7,26,,,2.68,
00169800,John Marshall Law School,2016,6,31,,,,
00169800,John Marshall Law School,2017,5,,22,0,0,0
00171000,Loyola University-Chicago,2011,13,23,,,,
00171000,Loyola University-Chicago,2012,5,13,,,,
00171000,Loyola University-Chicago,2013,5,14,,,,
00171000,Loyola University-Chicago,2014,5,8,,,,
00171000,Loyola University-Chicago,2015,7,20,,,3.17,
00171000,Loyola University-Chicago,2016,0,24,,,,
00171000,Loyola University-Chicago,2017,2,,8,0,0,0
00173700,Northern Illinois University,2011,0,4,,,,
00173700,Northern Illinois University,2012,4,5,,,,
00173700,Northern Illinois University,2013,4,2,,,,
00173700,Northern Illinois University,2014,0,1,,,,
00173700,Northern Illinois University,2015,2,1,,,,
00173700,Northern Illinois University,2016,3,2,,,,
00173700,Northern Illinois University,2017,0,,0,0,0,0
00173900,Northwestern University,2011,39,9,,,,
00173900,Northwestern University,2012,38,6,,,,
00173900,Northwestern University,2013,44,3,,,,
00173900,Northwestern University,2014,35,2,,3.73,3.56,3.4
00173900,Northwestern University,2015,25,6,,3.89,3.69,3.59
00173900,Northwestern University,2016,25,5,,3.76,3.65,3.57
00173900,Northwestern University,2017,27,,0,3.82,3.71,3.54
00175800,Southern Illinois University-Carbondale,2011,1,6,,,,
00175800,Southern Illinois University-Carbondale,2012,1,4,,,,
00175800,Southern Illinois University-Carbondale,2013,4,3,,,,
00175800,Southern Illinois University-Carbondale,2014,2,6,,,,
00175800,Southern Illinois University-Carbondale,2015,2,3,,,,
00175800,Southern Illinois University-Carbondale,2016,1,4,,,,
00175800,Southern Illinois University-Carbondale,2017,3,,4,0,0,0
00177400,University of Chicago,2011,16,1,,,,
00177400,University of Chicago,2012,24,1,,,,
00177400,University of Chicago,2013,23,2,,,,
00177400,University of Chicago,2014,23,2,,3.89,3.78,3.72
00177400,University of Chicago,2015,23,0,,3.91,3.83,3.71
00177400,University of Chicago,2016,21,4,,3.9,3.8,3.67
00177400,University of Chicago,2017,17,,0,3.86,3.74,3.63
00177500,University of Illinois,2011,16,6,,,,
00177500,University of Illinois,2012,16,12,,,,
00177500,University of Illinois,2013,2,15,,,,
00177500,University of Illinois,2014,9,12,,,3.55,
00177500,University of Illinois,2015,2,10,,,,
00177500,University of Illinois,2016,0,8,,,,
00177500,University of Illinois,2017,1,,2,0,0,0
00180500,Indiana Tech Law School,2016,1,0,,,,
00180900,Indiana University - Bloomington,2011,0,9,,,,
00180900,Indiana University - Bloomington,2012,2,10,,,,
00180900,Indiana University - Bloomington,2013,0,7,,,,
00180900,Indiana University - Bloomington,2014,1,4,,,,
00180900,Indiana University - Bloomington,2015,3,7,,,,
00180900,Indiana University - Bloomington,2016,2,2,,,,
00180900,Indiana University - Bloomington,2017,4,,0,0,0,0
00181300,Indiana University - Indianapolis,2011,17,7,,,,
00181300,Indiana University - Indianapolis,2012,18,1,,,,
00181300,Indiana University - Indianapolis,2013,14,3,,,,
00181300,Indiana University - Indianapolis,2014,8,7,,,2.72,
00181300,Indiana University - Indianapolis,2015,1,12,,,,
