schoolid,schoolname,calendaryear,mainopeid,schoolcity,schoolstate,schoolzipcode,termtype,schooltype,schoolstatus
00389500,University of Wisconsin,2017,00389500,Madison,WI,53706,SEM,PUB,Active
00393200,University of Wyoming,2017,00393200,Laramie,WY,82071,SEM,PUB,Active
00393600,Pontifical Catholic University of P.R.,2017,00393600,Ponce,PR,00717,SEM,PRI,Active
00393801,Inter American University of Puerto Rico,2017,00393800,San Juan,PR,00936,SEM,PRI,Active
00394200,University of Puerto Rico,2017,00394200,San Juan,PR,00931,SEM,PUB,Active
00394700,University of California-Hastings,2017,00394700,San Francisco,CA,94102,SEM,PUB,Active
00396900,University of Minnesota,2017,00396900,Minneapolis,MN,55455,SEM,PUB,Active
00497700,South Texas College of Law,2017,00497700,Houston,TX,77002,SEM,PRI,Active
00891600,New England Law | Boston,2017,00891600,Boston,MA,02116,SEM,PRI,Active
00927500,Northern Kentucky University,2017,00927500,Highland Heights,KY,41099,SEM,PUB,Active
00963500,Florida International University,2017,00963500,Miami,FL,33199,SEM,PUB,Active
01014205,Touro College,2017,01014200,Central Islip,NY,11722,SEM,PRI,Active
01014913,Pepperdine University,2017,01014900,Malibu,CA,90263,SEM,PRI,Active
01039501,University of San Diego,2017,01039500,San Diego,CA,92110,SEM,PRI,Active
01085400,Thomas Jefferson School of Law,2017,01085400,San Diego,CA,92101,SEM,PRI,Active
01164901,Loyola Marymount University-Los Angeles,2017,01164900,Los Angeles,CA,90015,SEM,PRI,Active
01193400,Vermont Law School,2017,01193400,South Royalton,VT,05068,SEM,PRI,Active
01262700,Western Michigan University,2017,01262700,Lansing,MI,48901,SEM,PRI,Active
01310300,California Western School of Law,2017,01310300,San Diego,CA,92101,SEM,PRI,Active
02053000,Liberty University,2017,02053000,Lynchburg,VA,24515,SEM,PRI,Active
02179937,Western State College of Law,2017,02179900,Fullerton,CA,92831,SEM,PRI,Active
03091300,Regent University,2017,03091300,Virginia Beach,VA,23464,SEM,PRI,Active
03173300,Atlanta's John Marshall Law School,2017,03173300,Atlanta,GA,30309,SEM,PRI,Active
03191300,City University of New York,2017,03191300,Long Island City,NY,11101,SEM,PUB,Active
03374300,Florida Coastal School of Law,2017,03374300,Jacksonville,FL,32256,SEM,PRI,Active
03559300,Appalachian School of Law,2017,03559300,Grundy,VA,24614,SEM,PRI,Active
03691400,Ave Maria School of Law,2017,03691400,Naples,FL,34119,SEM,PRI,Active
04096300,Charleston School of Law,2017,04096300,Charleston,SC,29403,SEM,PRI,Active
04131400,Arizona Summit Law School,2017,04131400,Phoenix,AZ,85004,SEM,PRI,Active
04143500,Charlotte School of Law,2017,04143500,Charlotte,NC,28244,SEM,PRI,InActive
04242101,UNT Dallas College Of Law,2017,04242100,Dallas,TX,75201,SEM,PUB,Active
